,∆u_I,u_Sn,u_Cs,E_perfect,VBM,∆H(XI_a) =∆u_X + a(∆u_I),,,,
I-rich,-0.605,-5.98,-4.54,-332.65,1.82,∆u_X = ∆H(XI_a) - a(∆u_I),,,,
I-poor,-0.895,-5.48,-4.18,-332.65,1.82,u_X = ∆u_X + E_X,,,,
,,,,,,E^f = E_tot - E_perfect + q*VBM + E_corr + u_Sn - u_X,,,,
In total = 25 X_Sn,,,,,I-rich condition,,,I-poor condition,,
X_Sn,E_tot (eV),E_perfect (eV),q*VBM (eV),E_corr (eV),u_Sn (eV),u_X (eV),E^f (eV),u_Sn (eV),u_X (eV),E^f (eV)
Ag_Sn-0,-330.702,-332.65,0.00,0.00,-5.98,-4.13,0.098,-5.48,-3.84,0.308
Ag_Sn+1,-332.036,-332.65,1.82,0.12,-5.98,-4.13,0.704,-5.48,-3.84,0.914
Al_Sn-0,-332.382,-332.65,0.00,0.00,-5.98,-6.74,1.028,-5.48,-5.87,0.658
Al_Sn+1,-335.407,-332.65,1.82,0.13,-5.98,-6.74,-0.047,-5.48,-5.87,-0.417
Au_Sn-0,-330.854,-332.65,0.00,0.00,-5.98,-4.32,0.136,-5.48,-3.45,-0.234
Au_Sn+1,-332.167,-332.65,1.82,0.11,-5.98,-4.32,0.753,-5.48,-3.45,0.383
Cd_Sn-0,-329.790,-332.65,0.00,0.00,-5.98,-3.10,-0.020,-5.48,-2.52,-0.100
Cd_Sn+1,-331.424,-332.65,1.82,0.12,-5.98,-3.10,0.286,-5.48,-2.52,0.206
Cd_Sn-1,-326.512,-332.65,-1.82,0.10,-5.98,-3.10,1.538,-5.48,-2.52,1.458
Cu_Sn-0,-331.287,-332.65,0.00,0.00,-5.98,-4.67,0.053,-5.48,-4.09,-0.027
Cu_Sn+1,-332.604,-332.65,1.82,0.12,-5.98,-4.67,0.676,-5.48,-4.09,0.596
Cu_Sn-1,-329.593,-332.65,-1.82,0.14,-5.98,-4.67,0.067,-5.48,-4.09,-0.013
Ga_Sn-0,-331.335,-332.65,0.00,0.00,-5.98,-5.60,0.935,-5.48,-4.73,0.565
Ga_Sn+1,-333.840,-332.65,1.82,0.09,-5.98,-5.60,0.340,-5.48,-4.73,-0.030
Ge_Sn-0,-333.559,-332.65,0.00,0.00,-5.98,-6.82,-0.069,-5.48,-6.24,-0.149
Ge_Sn+1,-335.332,-332.65,1.82,0.13,-5.98,-6.82,0.108,-5.48,-6.24,0.028
Ge_Sn+2,-336.725,-332.65,3.64,0.57,-5.98,-6.82,0.975,-5.48,-6.24,0.895
Mg_Sn-0,-331.488,-332.65,0.00,0.00,-5.98,-4.76,-0.058,-5.48,-4.18,-0.138
Mg_Sn+1,-333.112,-332.65,1.82,0.12,-5.98,-4.76,0.258,-5.48,-4.18,0.178
Mo_Sn-0,-342.661,-332.65,0.00,0.00,-5.98,-17.21,1.219,-5.48,-16.05,0.559
Mo_Sn+1,-345.115,-332.65,1.82,0.17,-5.98,-17.21,0.755,-5.48,-16.05,0.095
Pd_Sn-0,-334.749,-332.65,0.00,0.00,-5.98,-8.10,0.021,-5.48,-7.52,-0.059
Pd_Sn+1,-335.812,-332.65,1.82,0.11,-5.98,-8.10,0.888,-5.48,-7.52,0.808
Pd_Sn+2,-336.990,-332.65,3.64,0.61,-5.98,-8.10,2.030,-5.48,-7.52,1.950
Cr_Sn-0,-346.693,-332.65,0.00,0.00,-5.98,-20.10,0.077,-5.48,-19.23,-0.293
Cr_Sn+1,-348.341,-332.65,1.82,0.12,-5.98,-20.10,0.369,-5.48,-19.23,-0.001
Sc_Sn-0,-339.17,-332.65,0.00,0.00,-5.98,-13.60,1.095,-5.48,-12.73,0.725
Sc_Sn+1,-342.39,-332.65,1.82,0.12,-5.98,-13.60,-0.184,-5.48,-12.73,-0.554
Y_Sn-0,-339.68,-332.65,0.00,0.00,-5.98,-14.37,1.360,-5.48,-13.5,0.990
Y_Sn+1,-343.16,-332.65,1.82,0.10,-5.98,-14.37,-0.196,-5.48,-13.5,-0.566
Ti_Sn-0,-341.62,-332.65,0.00,0.00,-5.98,-15.04,0.093,-5.48,-13.98,-0.467
Ti_Sn+1,-343.88,-332.65,1.82,0.13,-5.98,-15.04,-0.216,-5.48,-13.98,-0.776
Ti_Sn+2,-345.57,-332.65,3.64,0.61,-5.98,-15.04,0.393,-5.48,-13.98,-0.167
Zr_Sn-0,-340.65,-332.65,0.00,0.00,-5.98,-15.58,1.596,-5.48,-14.42,0.936
Zr_Sn+1,-343.90,-332.65,1.82,0.12,-5.98,-15.58,0.288,-5.48,-14.42,-0.372
As_Sn-0,-332.56,-332.65,0.00,0.00,-5.98,-6.21,0.322,-5.48,-5.34,-0.048
As_Sn+1,-334.96,-332.65,1.82,0.12,-5.98,-6.21,-0.136,-5.48,-5.34,-0.506
As_Sn+2,-336.75,-332.65,3.64,0.53,-5.98,-6.21,0.300,-5.48,-5.34,-0.070
Sb_Sn-0,-333.16,-332.65,0.00,0.00,-5.98,-7.39,0.897,-5.48,-6.52,0.527
Sb_Sn+1,-335.82,-332.65,1.82,0.08,-5.98,-7.39,0.137,-5.48,-6.52,-0.233
Sb_Sn+2,-337.01,-332.65,3.64,0.54,-5.98,-7.39,1.233,-5.48,-6.52,0.863
Bi_Sn-0,-332.86,-332.65,0.00,0.00,-5.98,-6.62,0.430,-5.48,-5.75,0.060
Bi_Sn+1,-335.29,-332.65,1.82,0.15,-5.98,-6.62,-0.034,-5.48,-5.75,-0.404
Ca_Sn-0,-333.76,-332.65,0.00,0.00,-5.98,-7.13,0.039,-5.48,-6.55,-0.041
Ca_Sn+1,-335.46,-332.65,1.82,0.15,-5.98,-7.13,0.309,-5.48,-6.55,0.229
Ca_Sn-1,-330.27,-332.65,-1.82,0.10,-5.98,-7.13,1.812,-5.48,-6.55,1.732
In_Sn-0,-331.27,-332.65,0.00,0.00,-5.98,-5.09,0.493,-5.48,-4.22,0.123
In_Sn+1,-333.58,-332.65,1.82,0.09,-5.98,-5.09,0.094,-5.48,-4.22,-0.276
Mn_Sn-0,-348.52,-332.65,0.00,0.00,-5.98,-22.02,0.172,-5.48,-21.44,0.092
Mn_Sn+1,-350.18,-332.65,1.82,0.15,-5.98,-22.02,0.479,-5.48,-21.44,0.399
Mn_Sn-1,-345.04,-332.65,-1.82,0.11,-5.98,-22.02,1.943,-5.48,-21.44,1.863
Nb_Sn-0,-342.45,-332.65,0.00,0.00,-5.98,-16.51,0.728,-5.48,-15.06,-0.222
Nb_Sn+1,-344.70,-332.65,1.82,0.13,-5.98,-16.51,0.432,-5.48,-15.06,-0.518
Zn_Sn-0,-330.00,-332.65,0.00,0.00,-5.98,-3.20,-0.129,-5.48,-2.62,-0.209
Zn_Sn+1,-331.63,-332.65,1.82,0.13,-5.98,-3.20,0.186,-5.48,-2.62,0.106
W_Sn-0,-342.49,-332.65,0.00,0.00,-5.98,-17.35,1.535,-5.48,-16.19,0.875
W_Sn+1,-344.67,-332.65,1.82,0.17,-5.98,-17.35,1.337,-5.48,-16.19,0.677
W_Sn+2,-346.26,-332.65,3.64,0.52,-5.98,-17.35,1.916,-5.48,-16.19,1.256
V_Sn-0,-344.61,-332.65,0.00,0.00,-5.98,-18.53,0.590,-5.48,-17.37,-0.070
V_Sn+1,-346.26,-332.65,1.82,0.14,-5.98,-18.53,0.898,-5.48,-17.37,0.238
V_Sn+2,-347.37,-332.65,3.64,0.49,-5.98,-18.53,1.956,-5.48,-17.37,1.296
